,Dimension 1,Dimension 2,GMM Cluster,GMM Cluster Name,Song
45,2.2286282,-4.333145,4,Michael Jackson Songs,mfcc_output_103
46,-5.388954,-5.8375096,2,Kishor Kumar Songs,mfcc_output_9
47,-3.8284469,-4.9924784,5,Asha Bhosale Songs,mfcc_output_23
48,0.70320135,-10.265777,0,Marathi Bhav Geet,mfcc_output_37
49,-1.1575526,-9.292618,0,Marathi Bhav Geet,mfcc_output_36
50,-0.5303745,-9.195397,0,Marathi Bhav Geet,mfcc_output_22
51,2.3162405,-4.773997,4,Michael Jackson Songs,mfcc_output_8
52,-3.8815205,-5.497,5,Asha Bhosale Songs,mfcc_output_102
53,1.7853403,-6.9978075,0,Marathi Bhav Geet,mfcc_output_114
54,-3.7321703,-5.1151447,5,Asha Bhosale Songs,mfcc_output_100
55,0.67491,-5.751139,1,Marathi Lavni,mfcc_output_34
56,1.9783331,-5.0391216,4,Michael Jackson Songs,mfcc_output_20
57,-1.7311757,-10.681601,0,Marathi Bhav Geet,mfcc_output_21
58,2.6000042,-8.044837,3,Indian National Anthem,mfcc_output_35
59,-1.719937,-6.832504,1,Marathi Lavni,mfcc_output_101
60,-3.1894042,-8.686441,1,Marathi Lavni,mfcc_output_115
61,-3.4537606,-4.219302,2,Kishor Kumar Songs,mfcc_output_111
62,-2.3157597,-4.613454,5,Asha Bhosale Songs,mfcc_output_105
63,3.8107686,-8.099455,3,Indian National Anthem,mfcc_output_31
64,-1.9133867,-7.440327,1,Marathi Lavni,mfcc_output_25
65,-1.3801285,-7.6246786,1,Marathi Lavni,mfcc_output_19
66,-3.8275545,-5.0560637,5,Asha Bhosale Songs,mfcc_output_18
67,0.6979877,-6.4086204,1,Marathi Lavni,mfcc_output_24
68,-1.661943,-7.9942136,1,Marathi Lavni,mfcc_output_30
69,1.2942306,-8.592875,0,Marathi Bhav Geet,mfcc_output_104
70,-4.110246,-6.2421675,5,Asha Bhosale Songs,mfcc_output_110
71,1.312786,-8.1507845,0,Marathi Bhav Geet,mfcc_output_106
72,0.01486815,-10.542493,0,Marathi Bhav Geet,mfcc_output_112
73,-2.4987688,-3.861811,2,Kishor Kumar Songs,mfcc_output_26
74,-0.92327094,-6.935038,1,Marathi Lavni,mfcc_output_32
75,-1.4297583,-9.705577,0,Marathi Bhav Geet,mfcc_output_33
76,3.954102,-7.14666,3,Indian National Anthem,mfcc_output_27
77,1.2448575,-9.500503,0,Marathi Bhav Geet,mfcc_output_113
78,3.1712253,-5.311124,4,Michael Jackson Songs,mfcc_output_107
79,-0.063640006,-8.740904,0,Marathi Bhav Geet,mfcc_output_68
80,-4.1189103,-6.776223,5,Asha Bhosale Songs,mfcc_output_40
81,0.074686185,-9.58631,0,Marathi Bhav Geet,mfcc_output_54
82,-3.0759802,-5.618292,5,Asha Bhosale Songs,mfcc_output_83
83,-3.3019686,-5.3664136,5,Asha Bhosale Songs,mfcc_output_97
84,-4.0480013,-4.705616,2,Kishor Kumar Songs,mfcc_output_96
85,-4.6313143,-5.1519566,2,Kishor Kumar Songs,mfcc_output_82
86,0.5717949,-9.0326805,0,Marathi Bhav Geet,mfcc_output_55
87,0.1718027,-10.127963,0,Marathi Bhav Geet,mfcc_output_41
88,1.7400801,-8.442003,0,Marathi Bhav Geet,mfcc_output_69
89,2.4413722,-4.606104,4,Michael Jackson Songs,mfcc_output_57
90,2.3916857,-4.8798914,4,Michael Jackson Songs,mfcc_output_43
91,-1.934684,-6.4339247,1,Marathi Lavni,mfcc_output_94
92,-3.6921043,-5.6088724,5,Asha Bhosale Songs,mfcc_output_80
93,2.8062294,-9.223913,3,Indian National Anthem,mfcc_output_81
94,2.95781,-7.4099164,3,Indian National Anthem,mfcc_output_95
95,1.6074983,-9.51734,0,Marathi Bhav Geet,mfcc_output_42
96,-1.0972902,-8.679303,0,Marathi Bhav Geet,mfcc_output_56
97,-2.776524,-8.139582,1,Marathi Lavni,mfcc_output_52
98,-2.7657526,-6.071779,5,Asha Bhosale Songs,mfcc_output_46
99,-0.9701857,-9.845372,0,Marathi Bhav Geet,mfcc_output_91
100,0.3566212,-9.343804,0,Marathi Bhav Geet,mfcc_output_85
101,-2.8179786,-5.233314,5,Asha Bhosale Songs,mfcc_output_84
102,3.2652428,-8.328562,3,Indian National Anthem,mfcc_output_90
103,-3.7821877,-8.476214,1,Marathi Lavni,mfcc_output_47
104,-3.449278,-9.580743,1,Marathi Lavni,mfcc_output_53
105,1.0207479,-7.3361125,0,Marathi Bhav Geet,mfcc_output_45
106,-2.5675383,-5.4859414,5,Asha Bhosale Songs,mfcc_output_51
107,-0.46232572,-9.589054,0,Marathi Bhav Geet,mfcc_output_79
108,-3.781015,-8.404681,1,Marathi Lavni,mfcc_output_86
109,-2.0751927,-8.263991,1,Marathi Lavni,mfcc_output_92
110,-3.1150954,-5.8012495,5,Asha Bhosale Songs,mfcc_output_93
111,2.7941034,-7.403377,3,Indian National Anthem,mfcc_output_87
112,-3.1050158,-7.4046693,1,Marathi Lavni,mfcc_output_78
113,-5.9957275,-6.5158887,2,Kishor Kumar Songs,mfcc_output_50
114,1.5120962,-4.6445136,4,Michael Jackson Songs,mfcc_output_44
